127.0.0.1 - - [12/Aug/2024:17:54:30 -0300] "POST /clientes/csv HTTP/1.1" 200 1018 "-" "insomnia/9.3.3"
::1 - - [08/Sep/2024:17:17:54 -0300] "GET /view/cadastro.html HTTP/1.1" 200 7926 "http://localhost/view/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:17:54 -0300] "GET /usuarios/categorias/ HTTP/1.1" 200 82 "http://localhost/view/cadastro.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:19:13 -0300] "GET /view/cadastro.html HTTP/1.1" 304 - "http://localhost/view/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:19:13 -0300] "GET /usuarios/categorias/ HTTP/1.1" 200 82 "http://localhost/view/cadastro.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:45 -0300] "GET /view/cadastro.html HTTP/1.1" 304 - "http://localhost/view/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:45 -0300] "GET /fotofundo.jpg HTTP/1.1" 304 - "http://localhost/view/cadastro.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:45 -0300] "GET /usuarios/categorias/ HTTP/1.1" 200 81 "http://localhost/view/cadastro.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:48 -0300] "GET /view/cadastro.html HTTP/1.1" 304 - "http://localhost/view/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:48 -0300] "GET /usuarios/categorias/ HTTP/1.1" 200 81 "http://localhost/view/cadastro.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:48 -0300] "GET /view/cadastro.html HTTP/1.1" 304 - "http://localhost/view/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:49 -0300] "GET /usuarios/categorias/ HTTP/1.1" 200 81 "http://localhost/view/cadastro.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:50 -0300] "GET /view/cadastro.html HTTP/1.1" 304 - "http://localhost/view/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [08/Sep/2024:17:20:50 -0300] "GET /usuarios/categorias/ HTTP/1.1" 200 81 "http://localhost/view/cadastro.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
